id,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,tagTPL
1297777,49098,80,6,8236053,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3642521484502345,4118026.5,5815668.311226536,8230325.0,5728.0,8236053.0,8236053.0,0.0,8236053.0,8236053.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,20,0.2428347656334897,0.1214173828167448,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,442,83,0,20,5728.0,0.0,5728.0,5728.0,821215398637935.5,1161373942743958.8,1642430789045546.0,8230325.0,2
1392552,48998,443,6,906785,29,26,1021.0,28495.0,715.0,0.0,35.20689655172414,136.0163801349846,1412.0,0.0,1095.9615384615388,563.4093702287337,32550.163489691604,60.653848486686485,16792.314814814818,89836.09459534794,658594.0,18.0,906785.0,32385.17857142857,123780.35403384783,658594.0,59.0,207560.0,8302.4,16434.470392541807,44803.0,66.0,0,0,0,0,648,532,31.981120111161964,28.67272837552452,0.0,1412.0,527.0714285714287,662.8052739446415,439310.8311688312,1,2,0,16,54,0,0,0,0.0,536.6545454545454,35.206896551724135,1095.9615384615386,0,0,0,29516,26,34142,0,18,0,518,65535,501,4,20,0.0,0.0,0.0,0.0,1642165930662281.0,0.0,1642165930662281.0,1642165930662281.0,4
1362825,443,43388,6,6257,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.46300143838897,3128.5,4215.063522653009,6109.0,148.0,6257.0,3128.5,4215.063522653009,6109.0,148.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,479.46300143838897,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,331,0,0,20,0.0,0.0,0.0,0.0,1642477226419610.0,0.0,1642477226419610.0,1642477226419610.0,4
1339262,443,39048,6,409,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7334.963325183374,204.5,207.1822868876584,351.0,58.0,409.0,409.0,0.0,409.0,409.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,4889.975550122249,2444.9877750611245,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3918,358,0,20,0.0,0.0,0.0,0.0,1642573171818874.0,0.0,1642573171818874.0,1642573171818874.0,3
1337126,443,49526,6,12947,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.7139105584305,6473.5,9036.11755678289,12863.0,84.0,12947.0,12947.0,0.0,12947.0,12947.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,154.47594037228703,77.23797018614351,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,283,409,0,20,0.0,0.0,0.0,0.0,1642407032977538.0,0.0,1642407032977538.0,1642407032977538.0,3
1358442,47226,80,6,84547,4,4,1409.0,483.0,1409.0,0.0,352.25,704.5,483.0,0.0,120.75,241.5,22378.085561876826,94.62192626586396,12078.142857142857,21816.084314320105,57025.0,49.0,83514.0,27838.0,28095.50682938466,57198.0,1206.0,27522.0,9174.0,14862.832738075202,26327.0,113.0,0,0,0,0,100,92,47.31096313293198,47.31096313293198,0.0,1409.0,210.22222222222223,477.0782896385503,227603.69444444444,1,2,0,2,7,0,0,0,1.0,236.5,352.25,120.75,0,0,0,0,0,0,0,176,0,60,65535,83,1,20,0.0,0.0,0.0,0.0,1642584930009905.0,0.0,1642584930009905.0,1642584930009905.0,2
1338987,37634,443,6,7934476,13,9,2937.0,4968.0,1412.0,0.0,225.92307692307693,487.5704156902983,1412.0,0.0,552.0,624.3052138177287,996.2850728895014,2.7727098802743875,377832.1904761904,1679934.361906191,7709227.0,12.0,7934476.0,661206.3333333334,2219784.995641381,7709227.0,40.0,151539.0,18942.375,24549.52077470876,57982.0,38.0,0,0,0,0,280,192,1.6384194747075924,1.1342904055667948,0.0,1412.0,343.6956521739131,550.1947122100262,302714.2213438735,1,2,0,8,21,0,0,0,0.0,359.3181818181818,225.92307692307693,552.0,0,0,0,7874,10,52353,0,133,0,225,65535,283,5,20,224756.0,0.0,224756.0,224756.0,821286603551109.5,1161474642434821.0,1642573199392992.0,7709227.0,3
1378998,42428,443,6,510362,10,8,1059.0,4505.0,773.0,0.0,105.9,242.96293727416304,1412.0,0.0,563.125,600.1469909232952,10902.06559265776,35.26908351327097,30021.29411764706,52661.95941541284,199910.0,36.0,510362.0,56706.88888888889,100063.8823820119,309586.0,75.0,419476.0,59925.142857142855,71420.31035223471,199976.0,192.0,0,0,0,0,232,172,19.59393528515054,15.675148228120433,0.0,1412.0,292.8421052631579,475.6379649315333,226231.4736842105,0,2,0,6,17,0,0,0,0.0,309.1111111111111,105.9,563.125,0,0,0,5564,8,13303,0,58,0,250,65535,83,3,20,0.0,0.0,0.0,0.0,1642409092892888.0,0.0,1642409092892888.0,1642409092892888.0,1
1362818,46872,443,6,742971,11,10,838.0,6417.0,517.0,0.0,76.18181818181819,164.57570791694516,1412.0,0.0,641.7,688.3742602844925,9764.849502874273,28.264898629959983,37148.55,142443.99447113278,640875.0,15.0,742971.0,74297.09999999999,199445.42783341903,640875.0,86.0,44573.0,4952.555555555556,6792.551750099353,14847.0,16.0,0,0,0,0,240,212,14.8054230918838,13.459475538076182,0.0,1412.0,329.77272727272725,548.7957319542996,301176.75541125546,1,2,0,6,20,0,0,0,0.0,345.4761904761905,76.18181818181819,641.7,0,0,0,7255,10,10033,0,39,0,305,65535,565,4,20,0.0,0.0,0.0,0.0,1642477225597029.0,0.0,1642477225597029.0,1642477225597029.0,4
1348549,443,38572,6,186,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16129.032258064515,93.0,90.50966799187808,157.0,29.0,186.0,186.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,10752.688172043012,5376.344086021506,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,131,1821,0,20,0.0,0.0,0.0,0.0,1642249301367522.0,0.0,1642249301367522.0,1642249301367522.0,0
